,pred
0,153091.91749801827
1,113703.76646446603
2,133677.918139394
3,149147.2139554525
4,294264.29489636054
5,320513.793841963
6,120206.67412549515
7,198533.51409327274
8,111904.45416659258
9,238611.28460189846
10,175343.41068959955
11,236119.76555128983
12,329075.35324208206
13,169107.8072788061
14,138583.94698769177
15,306624.83050428744
16,184845.940128666
17,253556.60650284865
18,187752.02214418817
19,361716.38016937306
20,362719.3251396931
21,187096.90397800267
22,413492.60794347676
23,135239.15719398853
24,186435.75174257613
25,288426.1129298255
26,158658.0262594591
27,169257.9618998082
28,296849.1344578579
29,175815.8908597404
30,188167.87109596844
31,208958.19896846722
32,279544.6649653446
33,193465.0546166772
34,125799.84820437426
35,279790.3668557879
36,264344.3939957175
37,155284.5234182173
38,209176.1006450719
39,179039.1429225072
40,237768.6331561985
41,193164.97332497925
42,180906.2420238763
43,177076.84708874943
44,164015.55277062737
45,125439.19773508172
46,227757.25948018275
47,219276.8724838419
48,138848.8457893864
49,255091.82029227755
50,174066.31160089516
51,196631.83512507819
52,131288.1567122465
53,137604.99971795458
54,291608.4628854018
55,269412.60562451056
56,292590.63522784616
57,166079.2911479607
58,148364.32242598
59,138471.0097362819
60,300575.4283612134
61,285851.1009894662
62,175172.7894629441
63,251234.12470497936
64,286115.90478456666
65,128320.12692790746
66,248419.8047721707
67,215391.3542093416
68,189242.92508461184
69,145514.917990974
70,157907.38417847437
71,122436.37929761603
72,247333.9614414081
73,321404.8703142513
74,269228.1685512487
75,179889.07210803483
76,282100.5284490261
77,268456.028039545
78,153258.2243295456
79,263428.8158421012
80,150267.21774366905
81,189957.01894155948
82,203334.03277659274
83,113843.96662165031
84,298559.248711146
85,304590.61382569047
86,175285.9436613731
87,295536.8092675462
88,450354.13757682213
89,115124.51347150341
90,161222.3828328146
91,208716.25789861346
92,185323.95340782526
93,137731.04841990443
94,180486.41493806485
95,270362.46797007316
96,195519.33105213137
97,338404.48754657176
98,232727.06056146894
99,431373.36400189257
100,182703.8091422909
101,364990.10744791507
102,189037.0169140821
103,160566.1678174797
104,209150.21525649916
105,221659.60166814647
106,302779.762196104
107,160824.2793823463
108,182401.10127530835
109,202364.14008023852
110,260903.2026087357
111,188969.9850995732
112,184490.75294278798
113,174187.61605206717
114,176328.48496287662
115,139373.982342909
116,262672.11058111425
117,339808.54204507836
118,364293.6648117456
119,423589.29955064534
120,283919.6067588936
121,286592.632303113
122,229184.70669583813
123,183768.0316959927
124,201520.40292828367
125,210206.8988301553
126,238209.97187699587
127,310993.34639746393
128,198253.8638236878
129,170217.041618812
130,243838.94380417594
131,357931.54147209297
132,201631.16609208396
133,256074.48126355428
134,171017.36306211443
135,140648.4671424283
136,131661.4472406119
137,146820.3448148044
138,198260.70682096912
139,182389.54809888583
140,263013.87447068474
141,350255.40705642843
142,178605.0566693242
143,184034.72833454865
144,198483.68516914605
145,210473.89112398028
146,134118.24856712698
147,125478.31571320146
148,146656.68073794383
149,193558.78341235124
150,236513.75898146254
151,387248.1458240594
152,293310.7608887236
153,290433.21314375935
154,100041.62355503107
155,149951.26182346794
156,325481.1401617619
157,250993.4084975639
158,187045.5542680141
159,226671.02777675114
160,120130.93047013786
161,238842.83634535485
162,175418.51339911882
163,181479.51937414016
164,277771.24199980934
165,164177.30256857752
166,168526.9161777528
167,151989.25228647696
168,169244.18238330644
169,293495.35462303425
170,212768.70236482515
171,218406.5666476788
172,148012.53857243454
173,188716.8719609914
174,146332.95424604393
175,149110.9906637138
176,209505.36544021472
177,171147.4761139224
178,266375.31197292014
179,134250.40007945683
180,200178.85009479
181,124690.25243607767
182,172656.00904064768
183,169783.24492529072
184,277094.3760278387
185,212976.83466301963
186,190069.44736402878
187,291814.6888034806
188,197002.68439542144
189,179127.7844329009
190,211438.99109274018
191,220172.93703181765
192,175606.08853828817
193,203446.36363605212
194,133283.84186030578
195,287170.79658436676
196,112892.98266293354
197,188390.35861581564
198,260664.21557570546
199,175943.45040872516
200,217626.441606933
201,174364.74935392273
202,174336.47165253598
203,273252.6552169285
204,168298.41254148417
205,67130.65301699493
206,189527.04281396716
207,193210.46021381769
208,200501.89583585013
209,157064.4885610606
210,295060.4895392063
211,165895.22956165168
212,218743.74947269596
213,112063.79488021288
214,308332.70944597153
215,151393.72805897842
216,222306.82696156047
217,257964.53452199613
218,184682.71374065988
219,238635.89265775267
220,312602.338249142
221,383619.06734567
222,176783.1078910582
223,115508.76750681511
224,136436.28326877696
225,233848.10387908472
226,174297.66089266955
227,68097.63905618017
228,165251.37469425023
229,184946.97877205492
230,141756.4337313268
231,266179.01322414784
232,299479.61158348015
233,264872.0025475642
234,163094.09972117527
235,148435.48504474654
236,242430.97392067217
237,171550.92133235294
238,168880.31238630958
239,343878.3845981657
240,120285.24964157285
241,331156.02984701813
242,213908.53218294645
243,249944.38901603222
244,170641.81516349156
245,450753.7621879652
246,136121.14036399094
247,123249.77609270225
248,151930.1159346919
249,273957.1561637777
250,195589.0399236883
251,157346.64790418057
252,291084.7261962468
253,152544.49381952244
254,209988.4452936129
255,231149.95725273713
256,143102.51920677628
257,72951.60704717114
258,274773.3346668368
259,129358.61506923215
260,171945.75098570995
261,181752.02872272953
262,194429.305425589
263,343780.09589197335
264,155057.0310374978
265,133729.01222577103
266,238503.16641772623
267,174921.05475059221
268,205086.97263416118
269,124713.66454931036
270,208100.68772837066
271,282545.48122811795
272,269249.6377573685
273,202815.7575270998
274,126274.63716763598
275,213882.79966264972
276,120591.06007915584
277,301662.6421011447
278,139697.46399143615
279,153507.17439272982
280,142367.03871737813
281,152503.47997592165
282,214552.21341766405
283,252762.11146525573
284,220030.7788264286
285,201817.56063046545
286,193225.20197987594
287,148649.8753861877
288,214494.7865576534
289,195884.4760578066
290,199916.04320725732
291,241419.4485129039
292,295352.50501927384
293,159319.43801921976
294,437183.6239431982
295,308284.4882146056
296,228941.25763813464
297,129999.15574223195
298,307081.6326099796
299,104565.61443522015
300,175212.33852900774
301,172231.21851830356
302,199269.92894949153
303,106146.18964768767
304,183293.2757153623
305,179314.44371889907
306,149832.3409657684
307,147421.40589092975
308,198758.75361144877
309,212877.8150454464
310,291703.975868944
311,266375.0678971371
312,492084.34858114645
313,214276.34574359373
314,118957.8659650645
315,202669.07024103415
316,236035.6616108867
317,140053.3838703444
